Time,CELLS:ROOMX1:WINTER DESIGN DAY IN FRIBOURG (O1-O1:31-12):Des Heat Load [W],CELLS:ROOMX1::Des Sens Cool Load [W],CELLS:ROOMX1:WINTER DESIGN DAY IN FRIBOURG (O1-O1:31-12):Des Heat Mass Flow [kg/s],CELLS:ROOMX1::Des Cool Mass Flow [kg/s],CELLS:ENTRANCE:WINTER DESIGN DAY IN FRIBOURG (O1-O1:31-12):Des Heat Load [W],CELLS:ENTRANCE::Des Sens Cool Load [W],CELLS:ENTRANCE:WINTER DESIGN DAY IN FRIBOURG (O1-O1:31-12):Des Heat Mass Flow [kg/s],CELLS:ENTRANCE::Des Cool Mass Flow [kg/s],CELLS:ROOMX2::Des Heat Load [W],CELLS:ROOMX2::Des Sens Cool Load [W],CELLS:ROOMX2::Des Heat Mass Flow [kg/s],CELLS:ROOMX2::Des Cool Mass Flow [kg/s]
04:30:00,4.331046E+02,0.000000E+00,2.202288E-02,0.000000E+00,6.481206E+02,0.000000E+00,4.174941E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
04:40:00,4.331055E+02,0.000000E+00,2.202292E-02,0.000000E+00,6.481371E+02,0.000000E+00,4.175047E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
04:50:00,4.331064E+02,0.000000E+00,2.202297E-02,0.000000E+00,6.481535E+02,0.000000E+00,4.175153E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
05:00:00,4.331073E+02,0.000000E+00,2.202301E-02,0.000000E+00,6.481698E+02,0.000000E+00,4.175258E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
05:10:00,4.331082E+02,0.000000E+00,2.202306E-02,0.000000E+00,6.481862E+02,0.000000E+00,4.175363E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
05:20:00,4.331090E+02,0.000000E+00,2.202310E-02,0.000000E+00,6.482025E+02,0.000000E+00,4.175468E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
05:30:00,4.331099E+02,0.000000E+00,2.202315E-02,0.000000E+00,6.482187E+02,0.000000E+00,4.175573E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
05:40:00,4.331108E+02,0.000000E+00,2.202319E-02,0.000000E+00,6.482349E+02,0.000000E+00,4.175678E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
05:50:00,4.331116E+02,0.000000E+00,2.202323E-02,0.000000E+00,6.482511E+02,0.000000E+00,4.175782E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
06:00:00,4.331125E+02,0.000000E+00,2.202328E-02,0.000000E+00,6.482673E+02,0.000000E+00,4.175886E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
06:10:00,4.331134E+02,0.000000E+00,2.202332E-02,0.000000E+00,6.482834E+02,0.000000E+00,4.175990E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
06:20:00,4.331142E+02,0.000000E+00,2.202336E-02,0.000000E+00,6.482995E+02,0.000000E+00,4.176093E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
06:30:00,4.331151E+02,0.000000E+00,2.202341E-02,0.000000E+00,6.483155E+02,0.000000E+00,4.176197E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
06:40:00,4.331159E+02,0.000000E+00,2.202345E-02,0.000000E+00,6.483315E+02,0.000000E+00,4.176300E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
06:50:00,4.331168E+02,0.000000E+00,2.202350E-02,0.000000E+00,6.483475E+02,0.000000E+00,4.176402E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
07:00:00,4.331177E+02,0.000000E+00,2.202354E-02,0.000000E+00,6.483634E+02,0.000000E+00,4.176505E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
07:10:00,4.331185E+02,0.000000E+00,2.202358E-02,0.000000E+00,6.483793E+02,0.000000E+00,4.176607E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
07:20:00,4.331193E+02,0.000000E+00,2.202362E-02,0.000000E+00,6.483952E+02,0.000000E+00,4.176710E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
07:30:00,4.331202E+02,0.000000E+00,2.202367E-02,0.000000E+00,6.484110E+02,0.000000E+00,4.176812E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
07:40:00,4.331210E+02,0.000000E+00,2.202371E-02,0.000000E+00,6.484268E+02,0.000000E+00,4.176913E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
07:50:00,4.331219E+02,0.000000E+00,2.202375E-02,0.000000E+00,6.484425E+02,0.000000E+00,4.177015E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
08:00:00,4.331227E+02,0.000000E+00,2.202380E-02,0.000000E+00,6.484582E+02,0.000000E+00,4.177116E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
08:10:00,4.331235E+02,0.000000E+00,2.202384E-02,0.000000E+00,6.484739E+02,0.000000E+00,4.177217E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
08:20:00,4.331244E+02,0.000000E+00,2.202388E-02,0.000000E+00,6.484895E+02,0.000000E+00,4.177318E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
08:30:00,4.331252E+02,0.000000E+00,2.202392E-02,0.000000E+00,6.485051E+02,0.000000E+00,4.177418E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
08:40:00,4.331260E+02,0.000000E+00,2.202396E-02,0.000000E+00,6.485207E+02,0.000000E+00,4.177518E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
08:50:00,4.331269E+02,0.000000E+00,2.202401E-02,0.000000E+00,6.485362E+02,0.000000E+00,4.177619E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
09:00:00,4.331277E+02,0.000000E+00,2.202405E-02,0.000000E+00,6.485517E+02,0.000000E+00,4.177718E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
09:10:00,4.331285E+02,0.000000E+00,2.202409E-02,0.000000E+00,6.485672E+02,0.000000E+00,4.177818E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
09:20:00,4.331293E+02,0.000000E+00,2.202413E-02,0.000000E+00,6.485826E+02,0.000000E+00,4.177917E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
09:30:00,4.331301E+02,0.000000E+00,2.202417E-02,0.000000E+00,6.485980E+02,0.000000E+00,4.178016E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
09:40:00,4.331310E+02,0.000000E+00,2.202421E-02,0.000000E+00,6.486134E+02,0.000000E+00,4.178115E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
